source	query_id	method	half	ndcg@10	ndcg@100
real_295	1331	e5	inferior	0.0	0.23981246656813146
real_295	1331	e5_hybrid	inferior	0.0	0.25
real_295	1331	bge_m3_hybrid	inferior	0.0	0.26264953503719357
real_295	1422	bm25	inferior	1.0	1.0
real_295	1422	e5	inferior	1.0	1.0
real_295	1422	e5_hybrid	inferior	1.0	1.0
real_295	1422	bge_m3_hybrid	inferior	1.0	1.0
real_295	1447	bm25	superior	0.43067655807339306	0.43067655807339306
real_295	1447	e5	superior	0.0	0.25
real_295	1447	e5_hybrid	superior	0.31546487678572877	0.31546487678572877
real_295	1447	bge_m3_hybrid	superior	0.3010299956639812	0.3010299956639812
real_295	1448	bm25	inferior	0.5	0.5
real_295	1448	e5	inferior	0.0	0.25
real_295	1448	e5_hybrid	inferior	0.3562071871080222	0.3562071871080222
real_295	1448	bge_m3_hybrid	inferior	0.3010299956639812	0.3010299956639812
real_295	1457	bm25	superior	0.5706417189553201	0.5706417189553201
real_295	1457	e5	superior	0.39780880120575696	0.39780880120575696
real_295	1457	e5_hybrid	superior	0.45560514958746035	0.45560514958746035
real_295	1457	bge_m3_hybrid	superior	0.5249810332008933	0.5249810332008933
real_295	1458	bm25	superior	0.5706417189553201	0.5706417189553201
real_295	1458	e5	superior	0.39780880120575696	0.39780880120575696
real_295	1458	e5_hybrid	superior	0.5012658353418871	0.5012658353418871
real_295	1458	bge_m3_hybrid	superior	0.48247555939075504	0.48247555939075504
real_295	1618	bm25	inferior	0.3333333333333333	0.3333333333333333
real_295	1618	e5	inferior	0.3010299956639812	0.3010299956639812
real_295	1618	e5_hybrid	inferior	0.3333333333333333	0.3333333333333333
real_295	1618	bge_m3_hybrid	inferior	0.31546487678572877	0.31546487678572877
real_295	1621	bm25	inferior	0.3333333333333333	0.3333333333333333
real_295	1621	e5	inferior	0.2890648263178879	0.2890648263178879
real_295	1621	e5_hybrid	inferior	0.3333333333333333	0.3333333333333333
real_295	1621	bge_m3_hybrid	inferior	0.3333333333333333	0.3333333333333333
real_295	1657	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	1657	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	1657	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1657	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1670	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	1670	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	1670	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1670	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	1671	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	1671	e5	inferior	0.6309297535714575	0.6309297535714575
