method;half;recall;precision_interpolated
bm25;inferior;0.832391713747646;0.12610556348074178
bm25;inferior;0.8342749529190208;0.1226806978676267
bm25;inferior;0.8380414312617702;0.12072707542051003
bm25;inferior;0.839924670433145;0.11675392670157068
bm25;inferior;0.8418079096045198;0.11559348332040341
bm25;inferior;0.8436911487758946;0.11549368393915958
bm25;inferior;0.8455743879472694;0.11462047885888946
bm25;inferior;0.847457627118644;0.11462047885888946
bm25;inferior;0.8493408662900188;0.10963213939980639
bm25;inferior;0.8531073446327684;0.10963213939980639
bm25;inferior;0.8549905838041432;0.10863843024647045
bm25;inferior;0.8568738229755178;0.10728601744871492
bm25;inferior;0.8587570621468926;0.10724365004703669
bm25;inferior;0.8606403013182674;0.10593416782568382
bm25;inferior;0.864406779661017;0.10513055428309666
bm25;inferior;0.871939736346516;0.10314101136110493
bm25;inferior;0.8757062146892656;0.10150294053583098
bm25;inferior;0.8775894538606404;0.10150294053583098
bm25;inferior;0.879472693032015;0.0970893970893971
bm25;inferior;0.8813559322033898;0.09665427509293681
bm25;inferior;0.8832391713747646;0.09650205761316873
bm25;inferior;0.8851224105461394;0.09629174349518542
bm25;inferior;0.8888888888888888;0.09574036511156186
bm25;inferior;0.8926553672316384;0.0951425130469691
bm25;inferior;0.8945386064030132;0.095
bm25;inferior;0.896421845574388;0.0942874085787705
bm25;inferior;0.8983050847457628;0.0942874085787705
bm25;inferior;0.9001883239171374;0.0887815750371471
bm25;inferior;0.9020715630885122;0.08129667345553293
bm25;inferior;0.903954802259887;0.08008008008008008
bm25;inferior;0.9058380414312618;0.07617991764333228
bm25;inferior;0.9096045197740112;0.0743992606284658
bm25;inferior;0.9171374764595104;0.06866892272983643
bm25;inferior;0.9190207156308852;0.0643035973118988
bm25;inferior;0.9209039548022598;0.0613166144200627
bm25;inferior;0.9227871939736346;0.0605386706202125
bm25;inferior;0.9246704331450094;0.059142375331245486
bm25;inferior;0.928436911487759;0.05633641869500629
bm25;inferior;0.9303201506591338;0.054101412769685685
bm25;inferior;0.9340866290018832;0.05381944444444445
bm25;inferior;0.935969868173258;0.05253144487897685
bm25;inferior;0.9378531073446328;0.04938149430974765
bm25;inferior;0.9397363465160076;0.04938149430974765
bm25;inferior;0.9510357815442562;0.04764579238041749
bm25;inferior;0.9585687382297552;0.04764579238041749
bm25;inferior;0.96045197740113;0.04764128911723494
bm25;inferior;0.9623352165725048;0.044527710003485536
bm25;inferior;0.9698681732580038;0.042572538645945276
bm25;inferior;0.9736346516007532;0.04235621825331804
bm25;inferior;0.975517890772128;0.03954802259887006
bm25;inferior;0.9774011299435028;0.03953683248266931
bm25;inferior;0.9792843691148776;0.03389830508474576
bm25;inferior;0.9811676082862524;0.033498360444930236
bm25;inferior;0.9849340866290018;0.0306224017799637
bm25;inferior;0.9868173258003766;0.02230831453020563
bm25;inferior;0.9905838041431262;0.02212128858608798
bm25;inferior;0.9943502824858758;0.016984045290787442
bm25;inferior;0.9981167608286252;0.013918432731951995
bm25;inferior;1.0;0.0
bm25;superior;0.0;1.0
