source	query_id	target_id	jaccard
real_295	6476	127659	0.8095238095238095
real_295	6477	127660	0.8461538461538461
real_295	16560	127660	0.27586206896551724
real_295	6478	127661	0.8333333333333334
real_295	6479	127662	0.6666666666666666
real_295	48065	127662	0.4444444444444444
real_295	6480	127663	0.5555555555555556
real_295	4977	127663	0.5555555555555556
real_295	41647	127663	0.5555555555555556
real_295	46466	127663	0.5555555555555556
real_295	6481	127664	0.6363636363636364
real_295	25143	127664	0.2777777777777778
real_295	4984	127664	0.2857142857142857
real_295	6482	127664	0.6363636363636364
real_295	6482	127665	0.6363636363636364
real_295	4984	127665	0.2857142857142857
real_295	25143	127665	0.2777777777777778
real_295	6481	127665	0.6363636363636364
real_295	6483	127666	0.7647058823529411
real_295	15501	127666	0.65
real_295	6484	127667	0.8095238095238095
real_295	6485	127668	0.7142857142857143
real_295	6486	127669	0.7142857142857143
real_295	6087	127669	0.16666666666666666
real_295	12852	127669	0.0625
real_295	3585	127669	0.18181818181818182
real_295	6487	127670	0.3333333333333333
real_295	25486	127670	0.0
real_295	6488	127671	0.8
real_295	6489	127672	0.75
real_295	6490	127673	0.7333333333333333
real_295	11873	127673	0.1111111111111111
real_295	6491	127674	0.7333333333333333
real_295	17672	127674	0.7333333333333333
real_295	6492	127675	0.7333333333333333
real_295	17673	127675	0.7333333333333333
real_295	11874	127675	0.0967741935483871
real_295	6493	127676	0.7333333333333333
real_295	44898	127676	0.3684210526315789
real_295	45236	127676	0.3684210526315789
real_295	44899	127676	0.28
real_295	6494	127677	0.7333333333333333
real_295	11872	127677	0.11475409836065574
real_295	6495	127678	0.7333333333333333
real_295	12567	127678	0.2222222222222222
real_295	6496	127679	0.7647058823529411
real_295	6497	127680	0.7894736842105263
real_295	6498	127681	0.6363636363636364
real_295	42035	127681	0.17647058823529413
real_295	780	127681	0.2
real_295	6499	127682	0.7647058823529411
real_295	10799	127682	0.23809523809523808
real_295	11214	127682	0.15789473684210525
real_295	44888	127682	0.15789473684210525
real_295	8252	127682	0.23809523809523808
real_295	6500	127683	0.6
real_295	28111	127683	0.1875
real_295	28524	127683	0.1875
real_295	861	127683	0.2777777777777778
real_295	28819	127683	0.1875
real_295	6501	127684	0.8947368421052632
real_295	6502	127684	0.6585365853658537
real_295	6502	127685	0.8823529411764706
real_295	6501	127685	0.6585365853658537
real_295	6503	127686	0.7647058823529411
real_295	6517	127686	0.45454545454545453
real_295	6504	127687	0.7894736842105263
real_295	6505	127688	0.8333333333333334
real_295	6506	127689	0.8095238095238095
real_295	6507	127690	0.7333333333333333
real_295	6508	127691	0.7777777777777778
real_295	1331	127691	0.391304347826087
real_295	6509	127692	0.7894736842105263
real_295	6510	127693	0.7777777777777778
real_295	6511	127694	0.7894736842105263
real_295	6512	127695	0.7333333333333333
real_295	6513	127696	0.75
real_295	6514	127697	0.7777777777777778
real_295	6515	127698	0.42857142857142855
real_295	6516	127698	0.3
real_295	6516	127699	0.6
real_295	6515	127699	0.3
real_295	6517	127700	0.7894736842105263
real_295	6503	127700	0.45454545454545453
real_295	6518	127701	0.7894736842105263
real_295	6519	127702	0.7894736842105263
real_295	6520	127703	0.8
real_295	11703	127703	0.38095238095238093
real_295	6521	127704	0.7333333333333333
real_295	47189	127704	0.4375
real_295	47965	127704	0.4375
real_295	6522	127705	0.6
real_295	1671	127705	0.36363636363636365
real_295	6523	127706	0.8709677419354839
real_295	6524	127707	0.8666666666666667
real_295	6525	127708	0.6923076923076923
real_295	6526	127709	0.8260869565217391
real_295	2017	127709	0.6521739130434783
real_295	6527	127710	0.6
real_295	6528	127711	0.8
real_295	6529	127712	0.8
real_295	6530	127713	0.7894736842105263
real_295	11361	127713	0.75
real_295	6531	127714	0.7894736842105263
real_295	6532	127715	0.7894736842105263
real_295	6533	127716	0.7777777777777778
real_295	6534	127717	0.7777777777777778
real_295	6535	127718	0.7777777777777778
real_295	6536	127719	0.7777777777777778
real_295	6537	127720	0.7777777777777778
real_295	6538	127721	0.7894736842105263
real_295	6539	127722	0.7894736842105263
real_295	6540	127723	0.7894736842105263
real_295	6541	127724	0.7894736842105263
real_295	6542	127725	0.7894736842105263
real_295	6543	127726	0.8
real_295	6544	127727	0.7894736842105263
real_295	6545	127728	0.6363636363636364
real_295	6546	127729	0.8518518518518519
real_295	6547	127730	0.8518518518518519
real_295	6548	127731	0.8518518518518519
real_295	6549	127732	0.8518518518518519
real_295	6550	127733	0.8518518518518519
real_295	6551	127734	0.8095238095238095
real_295	6552	127735	0.2
real_295	6553	127736	0.5
real_295	6554	127737	0.8095238095238095
real_295	6555	127738	0.8333333333333334
real_295	6556	127739	0.8620689655172413
real_295	6557	127740	0.8260869565217391
