recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.699482000;0.081073;0.061709;0.279877;0.062055;0.448105
0.702073000;0.081073;0.061709;0.279877;0.061636;0.448105
0.704663000;0.081073;0.061709;0.279877;0.061636;0.448105
0.707254000;0.081073;0.061709;0.279877;0.061542;0.418021
0.709845000;0.081073;0.061709;0.279877;0.061532;0.418021
0.712435000;0.081073;0.061709;0.276000;0.061211;0.418021
0.715026000;0.081057;0.061709;0.276000;0.061211;0.418021
0.717617000;0.080782;0.061709;0.266090;0.060946;0.418021
0.720207000;0.079539;0.061709;0.258961;0.060824;0.418021
0.722798000;0.079539;0.060665;0.258961;0.060824;0.418021
0.725389000;0.079539;0.060665;0.258961;0.060228;0.418021
0.727979000;0.079539;0.060665;0.258961;0.060228;0.418021
0.730570000;0.079539;0.060665;0.258961;0.060228;0.418021
0.733161000;0.079539;0.060665;0.258961;0.060228;0.418021
0.735751000;0.079539;0.058137;0.258961;0.060228;0.388518
0.738342000;0.079539;0.057751;0.258961;0.060228;0.388518
0.740933000;0.079539;0.057029;0.258961;0.059758;0.388518
0.743523000;0.079539;0.055480;0.258961;0.059723;0.388518
0.746114000;0.079539;0.053552;0.258961;0.059723;0.388518
0.748705000;0.079539;0.051428;0.258961;0.059723;0.388518
0.751295000;0.079539;0.051428;0.253718;0.057919;0.388518
0.753886000;0.079434;0.049983;0.234548;0.057887;0.388518
0.756477000;0.079434;0.049983;0.234548;0.057334;0.386544
0.759067000;0.078363;0.049958;0.234548;0.057182;0.386544
0.761658000;0.077939;0.049958;0.234548;0.057022;0.369811
0.764249000;0.077939;0.047581;0.234548;0.057022;0.343643
0.766839000;0.077043;0.047581;0.234548;0.057022;0.343643
0.769430000;0.076389;0.047581;0.233359;0.056995;0.343643
0.772021000;0.076254;0.046109;0.233359;0.056719;0.343643
0.774611000;0.075754;0.044895;0.229607;0.055742;0.343643
0.777202000;0.075754;0.042894;0.229607;0.055586;0.343643
0.779793000;0.075754;0.042126;0.229607;0.055402;0.318902
0.782383000;0.075754;0.042126;0.229607;0.055161;0.318902
0.784974000;0.075754;0.041007;0.229607;0.055161;0.298625
0.787565000;0.075754;0.039702;0.229607;0.055132;0.298625
0.790155000;0.072879;0.039322;0.223176;0.054846;0.298246
0.792746000;0.072376;0.039322;0.223176;0.054795;0.298246
0.795337000;0.072376;0.038688;0.223176;0.054795;0.276826
0.797927000;0.072376;0.038688;0.223176;0.054795;0.263023
0.800518000;0.072376;0.038688;0.223176;0.054344;0.260285
0.803109000;0.072376;0.038386;0.223176;0.053073;0.260285
0.805699000;0.072376;0.038386;0.223176;0.053008;0.257613
0.808290000;0.072350;0.038386;0.223176;0.052890;0.257613
0.810881000;0.072350;0.038265;0.221671;0.052324;0.257613
0.813472000;0.072350;0.038265;0.218081;0.052203;0.249404
0.816062000;0.071106;0.037961;0.218081;0.052162;0.242308
0.818653000;0.070916;0.037682;0.218081;0.052162;0.241406
0.821244000;0.069292;0.036832;0.212182;0.052130;0.237631
0.823834000;0.069292;0.036832;0.202677;0.051652;0.232796
0.826425000;0.069292;0.036832;0.190363;0.051652;0.221374
0.829016000;0.069292;0.036832;0.190363;0.051364;0.219959
0.831606000;0.069292;0.036805;0.183895;0.051253;0.219959
0.834197000;0.069292;0.036805;0.183895;0.050653;0.219959
0.836788000;0.069282;0.036805;0.182531;0.049639;0.219959
0.839378000;0.069282;0.036443;0.182531;0.049034;0.219959
0.841969000;0.069282;0.036443;0.182531;0.049034;0.213675
0.844560000;0.068599;0.036018;0.182531;0.048425;0.199023
0.847150000;0.068599;0.035962;0.181518;0.047744;0.193377
0.849741000;0.068599;0.035956;0.181518;0.046538;0.188679
0.852332000;0.068599;0.035956;0.181518;0.046538;0.188679
0.854922000;0.068323;0.035866;0.181518;0.046538;0.188679
0.857513000;0.067058;0.035134;0.178822;0.046301;0.185020
0.860104000;0.066774;0.035103;0.175661;0.046301;0.171795
0.862694000;0.066747;0.035016;0.175355;0.046301;0.171795
0.865285000;0.066747;0.034784;0.172076;0.046299;0.171795
0.867876000;0.065234;0.034762;0.170224;0.046186;0.171795
0.870466000;0.065234;0.033725;0.168416;0.046186;0.168084
0.873057000;0.065234;0.033327;0.168416;0.045235;0.165358
0.875648000;0.064843;0.033327;0.168327;0.045217;0.162892
0.878238000;0.064843;0.033327;0.167905;0.045086;0.158634
0.880829000;0.063240;0.032748;0.165695;0.045011;0.156610
0.883420000;0.063240;0.032748;0.165695;0.045011;0.149627
0.886010000;0.063240;0.032565;0.164137;0.044794;0.143577
0.888601000;0.060360;0.031958;0.164137;0.044586;0.142857
0.891192000;0.060360;0.031958;0.164137;0.044456;0.140365
0.893782000;0.060360;0.031697;0.164137;0.044310;0.140365
0.896373000;0.060360;0.031697;0.164137;0.044127;0.140365
0.898964000;0.060360;0.031567;0.160946;0.042624;0.140202
0.901554000;0.060360;0.031567;0.157609;0.038783;0.130926
0.904145000;0.060360;0.029796;0.157587;0.038146;0.130338
0.906736000;0.060082;0.029486;0.157587;0.036599;0.130338
0.909326000;0.060082;0.027986;0.154762;0.036599;0.130338
0.911917000;0.056592;0.027888;0.145998;0.036599;0.128327
0.914508000;0.054484;0.026854;0.145687;0.036599;0.123427
0.917098000;0.053996;0.026573;0.140309;0.034942;0.121274
0.919689000;0.052399;0.026236;0.137490;0.032626;0.118729
0.922280000;0.051579;0.023859;0.136923;0.031836;0.113884
0.924870000;0.047238;0.023711;0.132961;0.031836;0.106834
0.927461000;0.047238;0.022570;0.121810;0.031836;0.106834
0.930052000;0.047238;0.022534;0.117129;0.031739;0.106150
0.932642000;0.047238;0.022534;0.117018;0.030727;0.104759
0.935233000;0.044540;0.022432;0.117018;0.030341;0.104759
0.937824000;0.042648;0.022305;0.113019;0.030339;0.100920
0.940415000;0.040040;0.022305;0.112628;0.029132;0.100773
0.943005000;0.038433;0.022305;0.109741;0.029132;0.100773
0.945596000;0.038433;0.022199;0.109741;0.029132;0.100773
0.948187000;0.036371;0.022199;0.097392;0.028990;0.081806
0.950777000;0.032278;0.021488;0.085151;0.026788;0.077149
0.953368000;0.032278;0.020831;0.083636;0.025616;0.076619
0.955959000;0.030688;0.020593;0.074171;0.023591;0.075229
0.958549000;0.030688;0.019806;0.073720;0.023591;0.074793
0.961140000;0.030688;0.018728;0.063768;0.023265;0.074022
0.963731000;0.030688;0.017070;0.063753;0.021273;0.072191
0.966321000;0.030688;0.016456;0.054492;0.019791;0.065669
0.968912000;0.030688;0.015945;0.051079;0.017773;0.065248
0.971503000;0.028853;0.015945;0.044201;0.017546;0.064655
0.974093000;0.027205;0.015480;0.039335;0.016908;0.062982
0.976684000;0.027205;0.015480;0.037817;0.013957;0.062356
0.979275000;0.025748;0.015480;0.036717;0.013405;0.062356
0.981865000;0.022965;0.015480;0.034395;0.012929;0.062356
0.984456000;0.022965;0.014987;0.031757;0.011599;0.059329
0.987047000;0.021313;0.000000;0.030468;0.011599;0.056361
0.989637000;0.021313;0.000000;0.023545;0.011599;0.048737
0.992228000;0.016410;0.000000;0.023216;0.011450;0.043518
0.994819000;0.011778;0.000000;0.017340;0.011150;0.042610
0.997409000;0.011778;0.000000;0.000000;0.011150;0.030657
1.000000000;0.000000;0.000000;0.000000;0.000000;0.030657
